Comment,Designator,Footprint,LCSC,Quantity
Conn_01x06_Socket,J3,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,,1
RaspberryPi_Pico_W,A2,RaspberryPi_Pico_W_SMD,,1
10k,R2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
Conn_01x06_Socket,J4,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,,1
10k,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
AO3400A,Q2,SOT-23,,1
Conn_01x03,J7,PinHeader_1x03_P2.54mm_Vertical,,1
Conn_01x03,J6,PinHeader_1x03_P2.54mm_Vertical,,1
Conn_01x02_Socket,J1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,1
Conn_01x02_Socket,J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,1
Conn_01x08,J10,PinHeader_1x08_P2.54mm_Vertical,,1
Conn_01x08,J9,PinHeader_1x08_P2.54mm_Vertical,,1
56k,R4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
100k,R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
Conn_01x04,J8,PinHeader_1x04_P2.54mm_Vertical,,1
AO3400A,Q1,SOT-23,,1
Conn_01x06,J5,PinHeader_1x06_P2.54mm_Vertical,,1
