"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R6";"R_0603_1608Metric";1;"330K";;;
2;"A1";"RaspberryPi_Pico_W_SMD_HandSolder";1;"RaspberryPi_Pico_W";;;
3;"C12";"C_0402_1005Metric";1;"2.2u";;;
4;"C10";"C_0402_1005Metric";1;"0.01u";;;
5;"R7,R2";"R_0805_2012Metric";2;"100k";;;
6;"R3";"R_0603_1608Metric";1;"10.2k";;;
7;"R4";"R_0603_1608Metric";1;"1.96k";;;
8;"L1";"L_APV_ANR6028";1;"4.7u";;;
9;"R5";"R_0603_1608Metric";1;"570K";;;
10;"R1";"R_0603_1608Metric";1;"66.5k";;;
11;"J7";"PinHeader_1x03_P2.54mm_Vertical";1;"ServoB";;;
12;"J5";"PinHeader_1x06_P2.54mm_Vertical";1;"Pixy SPI Connection";;;
13;"J2";"JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical";1;"Batt_2";;;
14;"C11";"C_1210_3225Metric";1;"10u";;;
15;"C9,C8";"C_1210_3225Metric";2;"47u";;;
16;"C7";"C_0805_2012Metric";1;"10pF";;;
17;"C6";"C_0603_1608Metric";1;"1nF";;;
18;"C5";"C_0805_2012Metric";1;"100nF";;;
19;"C4";"C_0603_1608Metric";1;"8.2nF";;;
20;"C3";"C_0805_2012Metric";1;"0.01uF";;;
21;"C2,C1";"C_1210_3225Metric";2;"4.7uF";;;
22;"U2";"TI_SO-PowerPAD-8_ThermalVias";1;"TPS54331";;;
23;"U1";"Texas_RTY_WQFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm_ThermalVias";1;"DRV8833RTY";;;
24;"Q2,Q1";"SOT-23";2;"AO3400A";;;
25;"J4";"JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical";1;"MotorB";;;
26;"J3";"JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical";1;"MotorA";;;
27;"D2";"D_SMA";1;"SS24";;;
28;"J6";"PinHeader_1x03_P2.54mm_Vertical";1;"ServoA";;;
29;"J1";"JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical";1;"Batt_1";;;
