Comment,Designator,Footprint,LCSC,Quantity
0.01u,C10,C_0402_1005Metric,C1524,1
0.01uF,C3,C_0805_2012Metric,C123143,1
1.96k,R4,R_0603_1608Metric,C22854,1
10.2k,R3,R_0603_1608Metric,C22772,1
100k,"R2,R7",R_0805_2012Metric,C25611,2
100nF,C5,C_0805_2012Metric,C1711,1
10pF,C7,C_0805_2012Metric,C107107,1
10u,C11,C_1210_3225Metric,C39232,1
1nF,C6,C_0603_1608Metric,C1587,1
2.2u,C12,C_0402_1005Metric,C72203,1
330K,R6,R_0603_1608Metric,C23137,1
4.7u,L1,L_APV_ANR6028,C78804,1
4.7uF,"C1,C2",C_1210_3225Metric,C47783,2
47u,"C8,C9",C_1210_3225Metric,C77101,2
570K,R5,R_0603_1608Metric,C23178,1
66.5k,R1,R_0603_1608Metric,C23225,1
8.2nF,C4,C_0603_1608Metric,C113812,1
AO3400A,"Q1,Q2",SOT-23,C20917,2
Batt_1,J1,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,C265003,1
Batt_2,J2,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,C265003,1
DRV8833RTY,U1,Texas_RTY_WQFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm_ThermalVias,C154936,1
MotorA,J3,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,C160392,1
MotorB,J4,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,C160392,1
Pixy SPI Connection,J5,PinHeader_1x06_P2.54mm_Vertical,C37208,1
RaspberryPi_Pico_W,A1,RaspberryPi_Pico_W_SMD_HandSolder,C42394205,1
SS24,D2,D_SMA,C50645,1
ServoA,J6,PinHeader_1x03_P2.54mm_Vertical,C49257,1
ServoB,J7,PinHeader_1x03_P2.54mm_Vertical,C49257,1
TPS54331,U2,TI_SO-PowerPAD-8_ThermalVias,C90761,1
