Ref,Val,Package,PosX,PosY,Rot,Side
"A1","RaspberryPi_Pico_W","RaspberryPi_Pico_W_SMD_HandSolder",112.730000,-112.110000,-90.000000,top
"C1","4.7uF","C_1210_3225Metric",127.600000,-128.500000,-90.000000,top
"C2","4.7uF","C_1210_3225Metric",131.200000,-128.500000,-90.000000,top
"C3","0.01uF","C_0805_2012Metric",124.700000,-128.100000,-90.000000,top
"C4","8.2nF","C_0603_1608Metric",125.075000,-124.800000,0.000000,top
"C5","100nF","C_0805_2012Metric",115.980000,-130.700000,0.000000,top
"C6","1nF","C_0603_1608Metric",111.400000,-125.500000,180.000000,top
"C7","10pF","C_0805_2012Metric",114.200000,-126.600000,-90.000000,top
"C8","47u","C_1210_3225Metric",98.600000,-130.000000,180.000000,top
"C9","47u","C_1210_3225Metric",98.500000,-133.600000,180.000000,top
"C10","0.01u","C_0402_1005Metric",106.700000,-93.500000,180.000000,top
"C11","10u","C_1210_3225Metric",105.525000,-95.750000,180.000000,top
"C12","2.2u","C_0402_1005Metric",108.600000,-93.500000,0.000000,top
"D2","SS24","D_SMA",116.170000,-133.600000,0.000000,top
"J1","Batt_1","JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical",135.725000,-127.000000,-90.000000,top
"J2","Batt_2","JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical",135.320000,-132.670000,180.000000,top
"J3","MotorA","JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",130.500000,-94.000000,90.000000,top
"J4","MotorB","JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",95.000000,-94.000000,90.000000,top
"J5","Pixy SPI Connection","PinHeader_1x06_P2.54mm_Vertical",102.100000,-126.400000,-90.000000,top
"J6","ServoA","PinHeader_1x03_P2.54mm_Vertical",126.740000,-86.850000,90.000000,top
"J7","ServoB","PinHeader_1x03_P2.54mm_Vertical",98.560000,-86.650000,-90.000000,top
"L1","4.7u","L_APV_ANR6028",108.640000,-132.200000,180.000000,top
"Q1","AO3400A","SOT-23",136.380000,-92.550000,90.000000,top
"Q2","AO3400A","SOT-23",89.930000,-89.812500,90.000000,top
"R1","66.5k","R_0603_1608Metric",108.700000,-125.800000,-90.000000,top
"R2","100k","R_0805_2012Metric",136.880000,-98.050000,-90.000000,top
"R3","10.2k","R_0603_1608Metric",105.200000,-125.800000,90.000000,top
"R4","1.96k","R_0603_1608Metric",106.900000,-125.800000,-90.000000,top
"R5","570K","R_0603_1608Metric",131.700000,-124.800000,180.000000,top
"R6","330K","R_0603_1608Metric",128.400000,-124.800000,180.000000,top
"R7","100k","R_0805_2012Metric",88.880000,-97.237500,-90.000000,top
"U1","DRV8833RTY","Texas_RTY_WQFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm_ThermalVias",107.750000,-90.200000,-90.000000,top
"U2","TPS54331","TI_SO-PowerPAD-8_ThermalVias",119.600000,-126.800000,180.000000,top
